DayCount,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
357,1149.34,1163.54,1135.01,1155.78,1565.7,1795913.77,1147.03
358,1155.83,1189.23,1155.16,1170.5,1961.51,2303720.54,1174.46
359,1167.11,1208,1167.11,1201,2879.77,3427786.81,1190.3
360,1201,1204,1182,1190.89,1247.75,1492399.2,1196.07
361,1190.99,1207.5,1190.97,1196.67,842.86,1011794.31,1200.43
362,1195.55,1205.05,1170,1195.6,1682.8,2002205.88,1189.81
363,1196.56,1350,1170,1252,10336.39,12979692.32,1255.73
364,1252,1293,975,1116.97,20605.9,22836763.78,1108.26
365,1111.55,1148,1106.51,1147.99,2492.99,2824807.45,1133.1
366,1148,1198,1146.28,1178.69,2428.43,2850388.85,1173.76
367,1178.69,1197.8,1172.03,1181.74,1078.7,1276443.26,1183.32
368,1181.75,1183.5,1159.57,1176.55,1346.66,1577584.74,1171.48
369,1176.58,1191.14,1173.3,1180.56,887.15,1049899.85,1183.46
370,1179.68,1183.99,1170.9,1174.71,486.87,572933.69,1176.76
371,1174.71,1234.04,1173.18,1226,2675.45,3237025.09,1209.9
372,1224.01,1241.85,1214.35,1226.62,1744.44,2143455.77,1228.74
373,1226.42,1243,1222.15,1228.86,930.68,1144450.17,1229.69
374,1228.82,1238.98,1215.43,1238.98,1291.24,1586078.39,1228.34
375,1238.09,1249.02,1225.77,1238.02,2220.34,2751310.46,1239.14
376,1238,1247.99,1235,1242.46,1195.1,1481716.11,1239.83
377,1242.46,1250,1235,1236.37,925.18,1147987,1240.82
378,1234.56,1245.8,1226.5,1244.03,1124.35,1389642.33,1235.96
379,1244.8,1260,1242.85,1254.06,2274.33,2846154,1251.43
380,1254.06,1256.73,1239.01,1245.86,1421.64,1772675.23,1246.92
381,1245.82,1249.99,1238.32,1247.25,617.7,769237.15,1245.33
382,1247.34,1256.78,1245.24,1253.22,719.54,901119.38,1252.35
383,1253.23,1260,1245.29,1249.92,1221,1532209.96,1254.88
384,1249.68,1259.99,1245.51,1257.32,1372.26,1718276.87,1252.15
385,1258.75,1258.96,1225.37,1226.6,2375.12,2954945.33,1244.12
386,1226.6,1243.4,1220,1228.78,2452.59,3014088.21,1228.94
387,1228.61,1233.13,1209.56,1221.4,2180.85,2657252.7,1218.45
388,1220.54,1220.54,1130,1172.62,8237.99,9638861.32,1170.05
